FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c21,492038,POINT (16.388726622409877 48.266718293625175),Franz-Polly-Park,21,"Klettern, Rutschen, Sand-Matsch, Schaukeln, Wasserspiel, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c22,492039,POINT (16.315117208629303 48.20642847183363),Rohrauerpark,15,"Balancieren, Basketball, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c23,492040,POINT (16.375873856753994 48.25056914078959),PA Luntzgasse,20,"Rutschen, Sandspielen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c24,492041,POINT (16.384502189754265 48.176046792941705),Mundypark,10,"Basketball, Fußball, Schaukeln, Tischtennis","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c25,492042,POINT (16.33323839446721 48.19448847773008),PA Friedrichsplatz,15,Spieltier,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c26,492043,POINT (16.449048637383026 48.26910953476362),Hedwig-und-Johann-Schneider-Park,21,"Balancieren, Fußball, Hängematte, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wasserspiel, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c27,492044,POINT (16.40246449285417 48.205692683443985),Prater,2,"Beachvolleyball, Fitness","Ballspielplatz, Generationenspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c28,492045,POINT (16.406251237558077 48.20405327436407),Prater,2,"Balancieren, Drehen, Klettern, Rodelhügel, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Seilbahn, Spieltier, Wasserspiel","Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c29,492046,POINT (16.40605152512735 48.20610425517788),Prater,2,"Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Tischtennis","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2a,492047,POINT (16.401829512915633 48.21098770391188),Prater,2,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2b,492048,POINT (16.400361717154073 48.212158333839504),Prater,2,"BMX, Beachvolleyball, Drehen, Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Skaten, Slackline, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2c,492049,POINT (16.398927182596704 48.21421439913451),Prater,2,"Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2d,492050,POINT (16.399121288941995 48.213065229379765),Prater,2,"Hängematte, Klettern",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2e,492051,POINT (16.40128526022112 48.21312018693774),Prater,2,"Balancieren, Hüpfen, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c2f,492052,POINT (16.406253028152083 48.210975078008836),Prater,2,"Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c30,492053,POINT (16.417497781829823 48.203188426256354),Prater,2,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c31,492054,POINT (16.437305875704276 48.20034481981179),Prater,2,"Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c32,492055,POINT (16.429888237150347 48.19945251339197),Prater,2,Disc-Golf,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c33,492056,POINT (16.418726010740862 48.201879063402515),Prater,2,Klettern,Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c34,492057,POINT (16.423122001723367 48.199946832208624),Prater,2,Disc-Golf,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c35,492058,POINT (16.424649391954354 48.20124387636334),Prater,2,Disc-Golf,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c36,492059,POINT (16.417062099209122 48.199129657520466),Prater,2,"Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Wasserpiel",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c37,492060,POINT (16.43428182379751 48.19540240098228),Prater,2,"Balancieren, Hüpfen, Klettern, Reck, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2c38,492061,POINT (16.441352986385436 48.196614798023816),Prater,2,Fußball,Ballspielplatz,
